tanggal,ulasan,sentimen
2026-01-01,Pelayanan awal tahun yang sangat ramah dan profesional dari PMI Cirebon.,Positif
2026-01-01,Gedung sangat bersih dan fasilitas ruang tunggunya sangat nyaman.,Positif
2026-01-02,Saya rutin berdonor di sini setiap tiga bulan. Layanannya standar saja.,Netral
2026-01-02,Ada petugas yang tidak memakai sarung tangan medis saat mengambil sampel darah. SOP kesehatan harus dijaga ketat di area infeksius!,Negatif
2026-01-03,Jarum dipasang dengan sangat ahli tidak terasa sakit sama sekali.,Positif
2026-01-03,Antrean di loket administrasi cukup panjang karena banyak pendonor.,Negatif
2026-01-04,Sangat efisien dari daftar sampai selesai tidak butuh waktu lama.,Positif
2026-01-04,Donor berjalan wajar dan normal seperti kunjungan sebelumnya.,Netral
2026-01-05,Petugas sangat edukatif menjelaskan pentingnya donor darah secara rutin.,Positif
2026-01-05,Snack yang diberikan enak dan cukup untuk memulihkan tenaga.,Positif
2026-01-06,Sistem pendaftaran dengan layar digital sangat mempermudah alur antrean.,Positif
2026-01-06,Ruang tunggu agak panas karena ada satu AC yang sepertinya bocor.,Negatif
2026-01-07,Dokter screening sangat teliti memeriksa tekanan darah saya.,Positif
2026-01-07,Sangat puas dengan keramahan dan senyum para staf di sini.,Positif
2026-01-08,Hanya mampir donor. Pelayanan cukup memadai.,Netral
2026-01-08,Sangat responsif melayani keluhan dan kebutuhan pendonor.,Positif
2026-01-09,Sangat terorganisir dengan rapi dari awal kedatangan sampai pulang.,Positif
2026-01-09,Petugas di loket depan kurang ramah saat menjawab pertanyaan saya.,Negatif
2026-01-10,Bed donor selalu dibersihkan setiap kali berganti orang. Sangat steril.,Positif
2026-01-10,Biasa saja tidak ada yang spesial dari pelayanan hari ini.,Netral
2026-01-11,Layanan 24 jam ini sangat membantu kami yang baru pulang kerja shift malam.,Positif
2026-01-11,Sangat salut dengan dedikasi para tenaga kesehatan di PMI Kota Cirebon.,Positif
