tanggal,ulasan,sentimen
2025-10-01,Layanan PMI Kota Cirebon selalu memuaskan dan cepat.,Positif
2025-10-01,Petugas medis sangat cekatan dan profesional dalam bekerja.,Positif
2025-10-01,Petugas hampir salah menempelkan stiker golongan darah di tabung sampel uji saya. Untung saya menegur duluan. Verifikasi identitas medis harus berlapis!,Negatif
2025-10-02,Kunjungan rutin berjalan wajar seperti biasa.,Netral
2025-10-02,Fasilitas gedung sangat sejuk dan bersih.,Positif
2025-10-03,Jarum masuk tanpa terasa sakit sama sekali hebat!,Positif
2025-10-03,Antrean di loket administrasi sangat berantakan hari ini karena banyak rombongan.,Negatif
2025-10-04,Datang untuk donor darah proses berjalan standar.,Netral
2025-10-04,Petugas sangat ramah dan sabar melayani pendonor yang phobia jarum.,Positif
2025-10-05,Ruang tunggu sangat nyaman dan banyak kursi kosong.,Positif
2025-10-05,Dokter screening memberikan penjelasan kesehatan yang sangat bermanfaat.,Positif
2025-10-06,Sangat efisien tidak butuh waktu lama untuk selesai donor.,Positif
2025-10-06,Prosedur berjalan normal tidak ada kendala berarti.,Netral
2025-10-07,AC di ruang donor mati jadi sangat pengap tolong segera diperbaiki.,Negatif
2025-10-07,Selalu senang berdonor di sini karena layanannya juara.,Positif
2025-10-08,Sangat apresiasi kebersihan area bed donor yang selalu disterilkan.,Positif
2025-10-08,Petugas dengan sigap membantu mengambilkan air minum setelah saya donor.,Positif
2025-10-09,Bingkisan snack cukup memulihkan tenaga sehabis diambil darah.,Positif
2025-10-09,Rutinitas donor tiga bulanan berjalan dengan lancar.,Netral
2025-10-10,Saya melihat perawat tidak mengganti sarung tangan setelah membuang limbah infeksius lalu langsung menangani pendonor baru. Ini pelanggaran berat dan sangat berbahaya!,Negatif
2025-10-10,Pelayanan petugas lab sangat cepat dan hasilnya memuaskan.,Positif
2025-10-11,Suasana ruangan tenang dan tidak berisik bikin rileks.,Positif
2025-10-11,Sangat responsif menjawab semua pertanyaan pendonor baru.,Positif
2025-10-12,Cukup standar sama seperti pelayanan publik lainnya.,Netral
2025-10-12,Satpam di depan sangat ramah mengarahkan parkir dan pintu masuk.,Positif
2025-10-13,Alat yang digunakan selalu ditunjukkan masih tersegel baru.,Positif
