tanggal,ulasan,sentimen
2025-04-01,Pelayanan di awal bulan sangat prima dan tidak mengecewakan.,Positif
2025-04-01,Petugas pendaftaran sangat cekatan sehingga antrean cepat terurai.,Positif
2025-04-02,Saya rutin donor darah di sini. Layanannya standar dan normal.,Netral
2025-04-02,Saya melihat petugas tidak mengganti sarung tangan medis saat mengambil sampel darah pendonor. SOP infeksi tolong dijaga ketat!,Negatif
2025-04-03,Jarum dipasang dengan sangat ahli tidak terasa sakit sedikit pun.,Positif
2025-04-03,Mesin pencetak antrean rusak jadi harus antre manual yang memakan waktu.,Negatif
2025-04-04,Sangat efisien dari daftar sampai selesai tidak butuh waktu lama.,Positif
2025-04-04,Proses donor normal dan fasilitasnya cukup.,Netral
2025-04-04,Petugas sangat edukatif menjelaskan pentingnya donor darah.,Positif
2025-04-05,Kualitas pelayanan bagus dan petugas sangat profesional.,Positif
2025-04-05,Sistem pendaftaran dengan layar digital sangat mempermudah alur.,Positif
2025-04-06,Ruang tunggu agak panas karena ada satu AC yang sepertinya bocor.,Negatif
2025-04-06,Dokter screening sangat teliti memeriksa tekanan darah saya.,Positif
2025-04-07,Sangat puas dengan keramahan dan senyum para staf PMI Cirebon.,Positif
2025-04-07,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral
2025-04-08,Sangat responsif melayani keluhan dan kebutuhan pendonor.,Positif
2025-04-08,Sangat terorganisir dengan rapi dari awal kedatangan sampai pulang.,Positif
2025-04-09,Petugas di loket depan kurang ramah saat menjawab pertanyaan.,Negatif
2025-04-09,Bed donor selalu dibersihkan setiap kali berganti orang. Sangat steril.,Positif
2025-04-10,Layanan 24 jam sangat membantu kami yang baru pulang kerja malam.,Positif
2025-04-10,Prosedur cukup jelas dan berlangsung normal.,Netral
2025-04-10,Sangat salut dengan dedikasi para tenaga kesehatan di PMI.,Positif
2025-04-11,Loket pelayanan kurang personel sehingga antrean jadi melambat.,Negatif
2025-04-11,Pelayanan bagus dan petugas ramah saat membantu pendonor.,Positif
2025-04-12,Alat yang digunakan selalu ditunjukkan masih tersegel rapi.,Positif
2025-04-12,Saya merasa sangat dihargai sebagai pendonor oleh petugas medis.,Positif
2025-04-13,Standar operasional terpenuhi dengan baik dan memadai.,Netral
2025-04-13,Kapas dan plester ditutup dengan sangat rapi dan darah berhenti total.,Positif
2025-04-14,"Layanan PMI hari ini jelek, lelet, dan membuang waktu.",Negatif
2025-04-14,Fasilitasnya sangat mendukung kenyamanan pengunjung yang datang.,Positif
2025-04-15,Petugas ramah ketika menjelaskan prosedur donor darah.,Positif
2025-04-15,Pelayanan memuaskan dan perawatnya murah senyum semua.,Positif
2025-04-15,Pelayanan cukup dan tidak ada kejadian khusus.,Netral
2025-04-16,Petugas dengan sigap membantu mengambilkan air minum hangat.,Positif
2025-04-16,Sangat merekomendasikan tempat ini bagi yang ingin rutin berdonor.,Positif
